id,negative,key_entity
13001,1,
13002,1,
13003,1,
13004,1,
13005,1,
13006,1,
13007,1,
13008,1,
13009,1,
13010,1,
13011,1,
13012,1,
13013,1,
13014,1,
13015,1,
13016,1,
13017,1,
13018,1,
13019,1,
13020,1,
13021,1,
13022,1,
13023,1,
13024,1,
13025,1,
13026,1,
13027,1,
13028,1,
13029,1,
13030,1,
13031,1,
13032,1,
13033,1,
13034,1,
13035,1,
13036,1,
13037,1,
13038,1,
13039,1,
13040,1,
13041,1,
13042,1,
13043,1,
13044,1,
13045,1,
13046,1,
13047,1,
13048,1,
13049,1,
13050,1,
13051,1,
13052,1,
13053,1,
13054,1,
13055,1,
13056,1,
13057,1,
13058,1,
13059,1,
13060,1,
13061,1,
13062,1,
13063,1,
13064,1,
13065,1,
13066,1,
13067,1,
13068,1,
13069,1,
13070,1,
13071,1,
13072,1,
13073,1,
13074,1,
13075,1,
13076,1,
13077,1,
13078,1,
13079,1,
13080,1,
13081,1,
13082,1,
13083,1,
13084,1,
13085,1,
13086,1,
13087,1,
13088,1,
13089,1,
13090,1,
13091,1,
13092,1,
13093,1,
13094,1,
13095,1,
13096,1,
13097,1,
13098,1,
13099,1,
13100,1,
13101,1,
13102,1,
13103,1,
13104,1,
13105,1,
13106,1,
13107,1,
13108,1,
13109,1,
13110,1,
13111,1,
13112,1,
13113,1,
13114,1,
13115,1,
13116,1,
13117,1,
13118,1,
13119,1,
13120,1,
13121,1,
13122,1,
13123,1,
13124,1,
13125,1,
13126,1,
13127,1,
13128,1,
13129,1,
13130,1,
13131,1,
13132,1,
13133,1,
13134,1,
13135,1,
13136,1,
13137,1,
13138,1,
13139,1,
13140,1,
13141,1,
13142,1,
13143,1,
13144,1,
13145,1,
13146,1,
13147,1,
13148,1,
13149,1,
13150,1,
13151,1,
13152,1,
13153,1,
13154,1,
13155,1,
13156,1,
13157,1,
13158,1,
13159,1,
13160,1,
13161,1,
13162,1,
13163,1,
13164,1,
13165,1,
13166,1,
13167,1,
13168,1,
13169,1,
13170,1,
13171,1,
13172,1,
13173,1,
13174,1,
13175,1,
13176,1,
13177,1,
13178,1,
13179,1,
13180,1,
13181,1,
13182,1,
13183,1,
13184,1,
13185,1,
13186,1,
13187,1,
13188,1,
13189,1,
13190,1,
13191,1,
13192,1,
13193,1,
13194,1,
13195,1,
13196,1,
13197,1,
13198,1,
13199,1,
13200,1,
13201,1,
13202,1,
13203,1,
13204,1,
13205,1,
13206,1,
13207,1,
13208,1,
13209,1,
13210,1,
13211,1,
13212,1,
13213,1,
13214,1,
13215,1,
13216,1,
13217,1,
13218,1,
13219,1,
13220,1,
13221,1,
13222,1,
13223,1,
13224,1,
13225,1,
13226,1,
13227,1,
13228,1,
13229,1,
13230,1,
13231,1,
13232,1,
13233,1,
13234,1,
13235,1,
13236,1,
13237,1,
13238,1,
13239,1,
13240,1,
13241,1,
13242,1,
13243,1,
13244,1,
13245,1,
13246,1,
13247,1,
13248,1,
13249,1,
13250,1,
13251,1,
13252,1,
13253,1,
13254,1,
13255,1,
13256,1,
13257,1,
13258,1,
13259,1,
13260,1,
13261,1,
13262,1,
13263,1,
13264,1,
13265,1,
13266,1,
13267,1,
13268,1,
13269,1,
13270,1,
13271,1,
13272,1,
13273,1,
13274,1,
13275,1,
13276,1,
13277,1,
13278,1,
13279,1,
13280,1,
13281,1,
13282,1,
13283,1,
13284,1,
13285,1,
13286,1,
13287,1,
13288,1,
13289,1,
13290,1,
13291,1,
13292,1,
13293,1,
13294,1,
13295,1,
13296,1,
13297,1,
13298,1,
13299,1,
13300,1,
13301,1,
13302,1,
13303,1,
13304,1,
13305,1,
13306,1,
13307,1,
13308,1,
13309,1,
13310,1,
13311,1,
13312,1,
13313,1,
13314,1,
13315,1,
13316,1,
13317,1,
13318,1,
13319,1,
13320,1,
13321,1,
13322,1,
13323,1,
13324,1,
13325,1,
13326,1,
13327,1,
13328,1,
13329,1,
13330,1,
13331,1,
13332,1,
13333,1,
13334,1,
13335,1,
13336,1,
13337,1,
13338,1,
13339,1,
13340,1,
13341,1,
13342,1,
13343,1,
13344,1,
13345,1,
13346,1,
13347,1,
13348,1,
13349,1,
13350,1,
13351,1,
13352,1,
13353,1,
13354,1,
13355,1,
13356,1,
13357,1,
13358,1,
13359,1,
13360,1,
13361,1,
13362,1,
13363,1,
13364,1,
13365,1,
13366,1,
13367,1,
13368,1,
13369,1,
13370,1,
13371,1,
13372,1,
13373,1,
13374,1,
13375,1,
13376,1,
13377,1,
13378,1,
13379,1,
13380,1,
13381,1,
13382,1,
13383,1,
13384,1,
13385,1,
13386,1,
13387,1,
13388,1,
13389,1,
13390,1,
13391,1,
13392,1,
13393,1,
13394,1,
13395,1,
13396,1,
13397,1,
13398,1,
13399,1,
13400,1,
13401,1,
13402,1,
13403,1,
13404,1,
13405,1,
13406,1,
13407,1,
13408,1,
13409,1,
13410,1,
13411,1,
13412,1,
13413,1,
13414,1,
13415,1,
13416,1,
13417,1,
13418,1,
13419,1,
13420,1,
13421,1,
13422,1,
13423,1,
13424,1,
13425,1,
13426,1,
13427,1,
13428,1,
13429,1,
13430,1,
13431,1,
13432,1,
13433,1,
13434,1,
13435,1,
13436,1,
13437,1,
13438,1,
13439,1,
13440,1,
13441,1,
13442,1,
13443,1,
13444,1,
13445,1,
13446,1,
13447,1,
13448,1,
13449,1,
13450,1,
13451,1,
13452,1,
13453,1,
13454,1,
13455,1,
13456,1,
13457,1,
13458,1,
13459,1,
13460,1,
13461,1,
13462,1,
13463,1,
13464,1,
13465,1,
13466,1,
13467,1,
13468,1,
13469,1,
13470,1,
13471,1,
13472,1,
13473,1,
13474,1,
13475,1,
13476,1,
13477,1,
13478,1,
13479,1,
13480,1,
13481,1,
13482,1,
13483,1,
13484,1,
13485,1,
13486,1,
13487,1,
13488,1,
13489,1,
13490,1,
13491,1,
13492,1,
13493,1,
13494,1,
13495,1,
13496,1,
13497,1,
13498,1,
13499,1,
13500,1,
13501,1,
13502,1,
13503,1,
13504,1,
13505,1,
13506,1,
13507,1,
13508,1,
13509,1,
13510,1,
13511,1,
13512,1,
13513,1,
13514,1,
13515,1,
13516,1,
13517,1,
13518,1,
13519,1,
13520,1,
13521,1,
13522,1,
13523,1,
13524,1,
13525,1,
13526,1,
13527,1,
13528,1,
13529,1,
13530,1,
13531,1,
13532,1,
13533,1,
13534,1,
13535,1,
13536,1,
13537,1,
13538,1,
13539,1,
13540,1,
13541,1,
13542,1,
13543,1,
13544,1,
13545,1,
13546,1,
13547,1,
13548,1,
13549,1,
13550,1,
13551,1,
13552,1,
13553,1,
13554,1,
